objectid,cip_id,title,start_cnst,cncl_dist,cip_stat,comp_area,ext_phone,asset_type,desc_text,hyperlink,shape_Length
1,S00841,Carroll Cyn Rd/Sorrento Valley Rd Dist 1,4/7/2014 0:00:00,"1, 6",Post Construction,"TORREY PINES, MIRA MESA",6195334207,Trans - Bridge - Vehicular,"This project extends Carroll Canyon Rd from Scranton Rd to Sorrento Valley Rd via a modified four-lane collector. In a cooperative effort with Caltrans, this project also includes Direct Access Ramps (DARs), which serve I-805 at pre-selected points.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00841,2791.162394117567146
2,S00969,Carmel Country Road Low Flow Channel,7/16/2027 0:00:00,1,Design,CARMEL VALLEY,6195334207,Drainage - Channels,This project was initially going to raise the elevation of the existing bike path crossing over Carmel creek to mitigate flooding and stagnant water for health and safety concerns. It was determined this solution was not treating the underlying issue in the area which was the stormwater management. TetraTech conducted an assessment in 2011 which had four proposed solutions - one of which will be assessed in a Preliminary Design Report by HDR.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00969,616.517439871672877
3,B12072,Water & Sewer Group 963 (W),10/29/2014 0:00:00,9,Post Construction,"MID-CITY:EASTERN AREA, MID-CITY:CITY HEIGHTS",6195334207,Water - Distribution Sys - Distribution,This project will replace 1.32 miles of 16"" CI water in 54th St and in El Cajon Blvd.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12072,6432.677648173024863
4,B13169,Water & Sewer Group 963 (S),10/29/2014 0:00:00,9,Post Construction,"MID-CITY:EASTERN AREA, MID-CITY:CITY HEIGHTS, MID-CITY:KENSINGTON-TALMADGE",6195334207,Wastewater - Collection Sys - Main,Replace approximately 1.17 miles of existing VC sewer mains.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B13169,6703.474537705090370
5,B00434,SEWER GROUP 828,6/21/2028 0:00:00,3,Design,"NORTH PARK, BALBOA PARK",6195334207,Wastewater - Collection Sys - Main,"Replace approximately 8,748-LF (1.66 miles) of existing VC, PVC, CP sewer main.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00434,8972.816163180910735
6,B12048,Water & Sewer Group 965 (S),4/11/2025 0:00:00,1,Construction,TORREY PINES,6195334207,Wastewater - Collection Sys - Main,"Replace 5,107 LF ( 0.97 miles) of existing 8-inch, 10-inch, and 12-inch VC sewer main; and replace associated sewer laterals, sewer manholes, curb ramps, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12048,5116.666837610019684
7,S13015,Water & Sewer GJ 816 (W),9/16/2015 0:00:00,1,Post Construction,PACIFIC BEACH,6195334207,Water - Distribution Sys - Distribution,"Replace approx 4.88 mi of existing CI, AC & PVC water main with 5.54 mi new water main.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S13015,32390.305153064873593
8,B14092,Otay 2nd Pipeline Phase 1,12/23/2019 0:00:00,4,Construction,"ENCANTO NEIGHBORHOODS, SKYLINE-PARADISE HILLS",6195334207,Water - Distribution Sys - Transmission,"The Otay 2nd Pipeline Phase I will relocate and replace approximately 0.9 mile of existing 36-inch water transmission pipeline with new 48-inch water transmission pipeline on Woodman St. between Imperial Ave and Skyline Dr. and abandon approximately 2,200 LF of the existing 36-inch Otay 2nd Pipeline located in non-accessible areas west of Imperial Ave. Also, it will relocate the existing Pressure Regulating Valve from the Imperial Ave median to the easement south of Imperial Ave and 65th St.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B14092,6445.912578622378533
9,B11072,Soledad Pump Station Upgrade,7/30/2018 0:00:00,1,Construction,LA JOLLA,6195334207,Bldg - Water - Pump Stations,"Replace exist. building, install 4 pumps, new pressure relief valve, replace security system, complete electrical, instrumentation & control needed for running 4 new pumps, telemetering, new suction manifold & a permanent davit type crane to remove pumps & motors. Replace approx. 350' of 16"" pipelines, upgrade Bayview Altitude Valve Vault, install surge tank and separate inlet/outlet for the Soledad Reservoir & a tideflex mixing system or equal within the reservoir.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B11072,370.593973325915158
10,B14125,Pipeline Rehabilitation AF1,2/11/2016 0:00:00,"1, 6",Construction,"TORREY PINES, UNIVERSITY",6195334207,Wastewater - Collection Sys - Main,This project involves trenchless rehabilitation of approximately 7.0 miles of existing 8-inch deteriorated sewer mains. ,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B14125,44441.819808032298170
11,S11021,University Ave Pipeline Replacement,4/27/2015 0:00:00,3,Construction,"NORTH PARK, UPTOWN",6195334207,Water - Distribution Sys - Distribution,"This project replaces 23,072 linear feet (4.3 miles) of existing cast iron transmission and distribution water mains with new 16-inch PVC pipeline. This project includes the replacement of pedestrian curb ramps to comply with ADA requirements, restoring street surfaces, striping, revegetation, and landscaping of impacted areas during construction.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S11021,21029.084967458871688
12,S15020,Tecolote Canyon Trunk Sewer Improvement,10/1/2024 0:00:00,"2, 7",Construction,"LINDA VISTA, CLAIREMONT MESA",6195334207,Wastewater - Collection Sys - Trunk Swr,"Rehabilitate 7,551 LF of 15-inch; upsize 7,350 LF of 15-inch to 18-inch; upsize 790 LF of 18-inch to 21-inch;  upsize 5,230 LF of 21-inch to 24-inch; upsize 2,060 LF of 21, 24-inch to 27-inch and upsize 1,990 LF of 24-inch to 30-inch. Misc. improvements to small vehicle access(addition of $1.5 M per Memo 5/7/2015). Major elements of work are the stream crossings, and backfill/slope restoration and erosion protection of manholes. Some new trail branches will be added.  ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S15020,25300.261520799733262
13,B15172,AC Water and Sewer Group 1029 (S),8/21/2017 0:00:00,4,Post Construction,ENCANTO NEIGHBORHOODS,6195334207,Wastewater - Collection Sys - Main,Replacement of .27 miles of AC water main pipe and .20 miles of sewer main pipe.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15172,3073.444941891294548
14,B15203,Tecolote Cyn GC Water Conn,10/1/2024 0:00:00,"2, 7",Construction,"LINDA VISTA, CLAIREMONT MESA",6195334207,Water - Distribution Sys - Distribution,Water service connection located in the Golf course that includes installing 700 LF of 16-inch main C905 PVC DR21 Pressure Rated 200 psi; 2-4” water services and 1-6” water services.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15203,737.195783450653721
15,B00406,Sewer Group 806,1/20/2028 0:00:00,9,Design,"MID-CITY:KENSINGTON-TALMADGE, COLLEGE AREA",6195334207,Wastewater - Collection Sys - Main,"Replacement of 0.41 miles of VCP sewer main, and rehabilitation of 0.73 miles of VCP sewer main. Replacement of 12 existing sewer manholes, rehabilitation of 11 sewer manholes, and construction of 4 new sewer manholes. ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00406,6076.442354136209360
16,B15015,Morena Bl & W. Bernardo Medians,5/20/2025 0:00:00,"2, 5",Bid / Award,"CLAIREMONT MESA, RANCHO BERNARDO",6195334207,Trans - Roadway - Enhance/Scape/Medians,This project includes replacing of existing 3-foot median with a new raised stamped concrete and a new black vinyl chain link fence on Morena Boulevard between Ashton Street and Littlefield Street; and removal of existing pylons on the north leg of West Bernardo Drive and to restripe in order to accomodate a 4-foot wide stamped concrete median.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15015,567.378793320644718
17,S10050,North Park Mini-Park,3/9/2020 0:00:00,3,Post Construction,NORTH PARK,6195334207,Parks - Mini Parks,This project provides for the design and construction of a 0.50 acre mini park and associated streetscape improvements in the Greater North Park Community.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S10050,2653.615769278545486
18,S00951,Coastal Rail Trail,7/6/2026 0:00:00,"1, 6",Design,"LA JOLLA, UNIVERSITY",6195334207,Trans - Bicycle Facilities (All Class.),"This project will install a one-way protected cycle track (Class IV bicycle facility) along both directions of Gilman Drive between La Jolla Colony Drive to La Jolla Village Drive, as well as a continuous sidewalk along the west side of Gilman Drive. Additional improvements include street lighting, ADA accessibility improvements, and traffic signal improvements.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00951,9543.555914498749189
19,B15040,AC Water & Sewer Group 1011 (S),11/20/2017 0:00:00,1,Post Construction,LA JOLLA,6195334207,Wastewater - Collection Sys - Main,"Replacement of 1,800 feet of AC sewer main with new PVC sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15040,2021.247521953694559
20,B16093,Clairemont Mesa SD Repl (Southeast),2/24/2027 0:00:00,2,Design,CLAIREMONT MESA,6195334207,Drainage - Storm Drain Pipes,"The project scope of work includes replacement of the deteriorated CMP storm drain pipes located within the easement, alley and open space easement in this neighborhood. The project will acquire drainage easement, extend the pipes in the canyon if necessary, and add energy dissipater. The project is located in the Clairemont community and the CD 2 - council district.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16093,413.431997938610891
21,B00346,Sewer & AC Water Group 697A (S),3/13/2019 0:00:00,"8, 3",Post Construction,"GREATER GOLDEN HILL, SOUTHEASTERN SAN DIEGO",6195334207,Wastewater - Collection Sys - Main,"Replacement, rehabilitation and realignment of (6, 8, and 10 -inch) concrete pipe (CP) and vitrified clay (VC) sewer mains and replacement & realignment of (8 and 12 inch) asbestos cement (AC) water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00346,3961.542155803733749
22,B15207,Sewer & AC Water Group 697A (W),3/13/2019 0:00:00,"8, 3",Post Construction,"GREATER GOLDEN HILL, SOUTHEASTERN SAN DIEGO",6195334207,Water - Distribution Sys - Distribution,"Replacement, rehabilitation and realignment of (6, 8, and 10 -inch) concrete pipe (CP) and vitrified clay (VC) sewer mains and replacement & realignment of (8 and 12 inch) asbestos cement  (AC) water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15207,3208.499913944781838
23,S00871,West Mission Bay Drive Bridge Over San D,7/23/2018 0:00:00,2,Construction,"MIDWAY-PACIFIC HIGHWAY, PENINSULA, MISSION BAY PARK",6195334207,Trans - Bridge - Vehicular,The proposed project will replace the existing bridge with a 6-lane bridge having a northbound and a southbound Class I bike facility and pedestrian sidewalks.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00871,2958.097003319697251
24,B12096,Highland and Monroe Aves Storm Drain Rep,11/28/2022 0:00:00,9,Construction,MID-CITY:KENSINGTON-TALMADGE,6195334207,Drainage - Storm Drain Pipes,"Installation of approximately 932 linear feet of 12"", 18"", and 24"" RCP and HDPE storm drains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12096,1148.726934058692677
25,B16135,Pipeline Rehabilitation AN-1,9/4/2018 0:00:00,7,Post Construction,NAVAJO,6195334207,Wastewater - Collection Sys - Main,"Trenchless rehabilitation of 7.81 miles of existing 8-inch sewer main, including point repairs, reconnection of sewer laterals, rehabilitation of manholes, replacement of manholes, repair of manholes, installation of new cleanouts, and slurry resurfacing in impacted areas.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16135,41140.417973383009667
26,B16035,North City Pure Water Pipeline,6/1/2021 0:00:00,"6, 5",Construction,"MILITARY FACILITIES, SCRIPPS MIRAMAR RANCH, UNIVERSITY, MIRA MESA",6195334207,Water - Distribution Sys - Transmission,Pure Water Pipeline will convey 32MGD of pure water from the proposed Pure Water Facility to the Miramar Reservoir. This project consists of the design and construction approximately 8 miles of 48-inch diameter welded steel pipeline and appurtenances. A new dechlorination facility will also be constructed near Miramar Reservoir. Approximately one mile Subaqueous pipeline system will distribute pure water within Miramar Reservoir through a series of duckbill diffusers throughout the reservoir.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16035,43808.308420002176717
27,B12110,Caltrans Pacific Beach PPL Central (W),7/23/2018 0:00:00,2,Construction,"MIDWAY-PACIFIC HIGHWAY, MISSION BAY PARK",6195334207,Water - Distribution Sys - Distribution,This project will replace the existing water mains along West Mission Bay Drive Bridge with a new 8"" and 20"" water main.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12110,4580.021127149027961
28,B16081,AC Water & Sewer Group 1018 (W),9/4/2018 0:00:00,"2, 1",Construction,"PACIFIC BEACH, MISSION BEACH",6195334207,Water - Distribution Sys - Distribution,"Construct and install a total of 10,260 LF (1.943 miles) of water mains to replace existing asbestos cement (AC) water mains, including all associated water services, fire hydrants, curb ramps, traffic signal modification at the intersection of Mission Boulevard and Pacific Beach Drive, traffic control, etc. Construct a total of 478 LF (0.10 miles) of sewer mains to replace existing vitrified clay (VC) sewer main and rehab a total of 1,953 LF (0.37 miles) of existing ductile iron (DI) sewer main",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16081,9938.428786352293173
29,B14100,Water Group 969,11/20/2017 0:00:00,"2, 1, 3, 9, 4",Post Construction,"NORTH PARK, LA JOLLA, MID-CITY:CITY HEIGHTS, PENINSULA, ENCANTO NEIGHBORHOODS, UPTOWN, MID-CITY:NORMAL HEIGHTS, OCEAN BEACH",6195334207,Water - Distribution Sys - Distribution,.46 miles of Cast Iron (CI) pipe to be replaced.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B14100,2777.340268913998443
30,B17091,Remaining Small Diameter CI Water Ph 3,7/15/2020 0:00:00,"2, 1, 3, 7, 4",Post Construction,"OLD TOWN SAN DIEGO, LA JOLLA, DOWNTOWN, RESERVE AREA-Not a community plan, LINDA VISTA, RESERVE AREA-Not a community plan, PENINSULA, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, SKYLINE-PARADISE HILLS, UPTOWN, RESERVE AREA-Not a community plan",6195334207,Water - Distribution Sys - Distribution,"This project is located City-wide in Council districts 1,2,3,4, & 7. The project scope includes the replacement, re-alignment, and new construction of approximately 8681 LF (1.64 miles) of water main. The scope also includes the replacement of associated water services, fire hydrants, and curb ramps. The project will also abandon approximately 3400 LF ( .64 miles) of existing deteriorated cast Iron water main.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B17091,5910.694552989209114
31,B15001,AC Water & Sewer Group 1026 (W),7/23/2018 0:00:00,9,Post Construction,MID-CITY:NORMAL HEIGHTS,6195334207,Water - Distribution Sys - Distribution,AC Water and Sewer Group Job 1026 will replace old asbestos cement (AC) pipes and deteriorating sewer mains in the in the Mid City/Normal Heights communities.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15001,16132.083187792759418
32,B17105,Sewer and AC Water Group 1032 (W),1/19/2021 0:00:00,8,Construction,SAN YSIDRO,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 18,216 linear feet (LF) (3.45 miles) of PVC water mains to replace existing asbestos cement (AC) water mains, including all associated water services, fire hydrants, curb ramps, traffic control, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B17105,27590.704712887261849
33,B14126,4709 Clairemont Mesa Blvd SD Repl,6/4/2018 0:00:00,2,Post Construction,CLAIREMONT MESA,6195334207,Drainage - Storm Drain Pipes,Replace a deteriorated corrugated metal pipe (CMP) storm drain on Clairemont Mesa Blvd and repair the eroded slope.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B14126,218.356062946439351
34,S00857,LA JOLLA VILLAGE DR INTERSTATE 805 RAMPS,2/22/2011 0:00:00,6,Post Construction,UNIVERSITY,6195334207,Trans - Bridge - Vehicular,The La Jolla Village/I-805 interchange project converts an existing cloverleaf configuration to a half-diamond interchange. Some project features include the removal of loop ramps and widening of La Jolla Village Dr to four lanes each direction.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00857,316.579710295127143
35,S00935,N Torrey Pines Rd Bridge/Los Penasquitos,12/2/2003 0:00:00,1,Post Construction,TORREY PINES,6195334207,Trans - Bridge - Vehicular,This project installs an access ramp under the N Torrey Pines Bridge.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00935,606.234154425133170
36,S00851,SR163/Friars Road,9/17/2018 0:00:00,"3, 7",Construction,"LINDA VISTA, MISSION VALLEY, SERRA MESA",6195334207,Trans - Bridge - Vehicular,"This project consists of widening of SR-163/Friars Road overcrossing from three to four lanes in each direction, as well as improvements to adjacent streets and on- and off-ramps. The project also includes construction of an auxiliary lane on southbound SR-163.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00851,18683.270615922439902
37,S00905,SR163/Clairemont Mesa Blvd Interchange,8/3/2015 0:00:00,6,Post Construction,KEARNY MESA,6195334207,Trans - Bridge - Vehicular,"This project provides for improving Clairemont Mesa Bl/SR163 to 6-lane prime arterial std. The improvements consist of converting the ramp configuration to a partial cloverleaf & widen Clairemont Mesa Bl to 6-lanes to Kearny Mesa Rd, similar to the ex. east side of the interchange. The project also includes a signal modification at Clairemont Mesa Bl and Kearny Mesa Rd; removing the eastbound free right-turn; installing curb, gutter, & sidewalk; paving; drainage improvements, and lane striping. ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00905,3847.685249150576055
38,S00863,Georgia Street Bridge Improvements,7/26/2016 0:00:00,3,Post Construction,NORTH PARK,6195334207,Trans - Bridge - Vehicular,This project provides for the rehabilitation and seismic upgrades of this historical bridge.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00863,292.012867406010628
39,B00429,Buchanan Canyon Sewer B (UP),5/8/2026 0:00:00,3,Design,UPTOWN,6195334207,Wastewater - Collection Sys - Main,"Sewer replacement totaling approximately 4,400 linear feet    ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00429,5568.646893422592257
40,S00312,PS2 Power Reliability & Surge Protection,8/28/2017 0:00:00,2,Construction,"RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan",6195334207,Bldg - MWWD - Pump Stations,"This project will improve Power Reliability and provide standby power at the Pump Station, thus protecting against surges during outages and ultimately preventing sewage spills.  ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00312,480.987325084765644
41,B13116,Lobrico Ct (615) Storm Drain,4/26/2022 0:00:00,4,Construction,SKYLINE-PARADISE HILLS,6195334207,Drainage - Storm Drain Pipes,Replace the existing earthen channel between Lisbon Street and Jamacha Road with below ground of approximately 340 linear feet of 48 inch RCP.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B13116,355.497913580759700
42,B12057,Water & Sewer Group 965 (W),4/11/2025 0:00:00,1,Construction,TORREY PINES,6195334207,Water - Distribution Sys - Distribution,"Replace 4,960 LF of CI, CICL, and AC water mains in CD 1, Torrey Pines community.  Location:  Sorrento Valley Rd, Industrial Ct, Tripp Ct.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12057,4994.954283384347036
43,S12011,69th & Mohawk Pump Station,6/29/2017 0:00:00,"9, 4",Post Construction,"MID-CITY:EASTERN AREA, COLLEGE AREA",6195334207,Bldg - Water - Pump Stations,"Construct a new 69th & Mohawk Pump Station. The pump station facility piping will be designed to handle a minimum of 18.03 MGD (12,521 gpm). It also entails 3,400' of new pipeline and replacement of Cast iron pipelines totaling 3,960'.  The project includes offsite 16 inch water pipeline adjacent to the new Water Branch Building at Chollas operations yard.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S12011,9201.880370248753024
44,B11024,La Jolla Country Club Reservoir,12/12/2017 0:00:00,1,Construction,LA JOLLA,6195334207,Water - Distribution Sys - Distribution,"This project will replace the reservoir with a new 880,000 gallon concrete rectangular reservoir within the existing reservoir footprint. The existing pump station will be replaced and upgraded with a total pumping capacity of 2,125 gallons per minute.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B11024,565.873818003501583
45,S12009,La Jolla Scenic Dr 16in main,7/29/2016 0:00:00,1,Post Construction,LA JOLLA,6195334207,Water - Distribution Sys - Transmission,"Replacement of 3.51 miles of AC water main and 0.30 miles of PVC water main. Abandon 0.21 miles of water main. Construct 0.17 miles of new water main, and relocate existing pressure regulation station at Muirlands Drive and Nautilus Street Intersection. ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S12009,21899.826266641350230
46,B15176,La Jolla Scenic Drive Pipeline (S),7/29/2016 0:00:00,1,Post Construction,LA JOLLA,6195334207,Wastewater - Collection Sys - Main,Replacement of 0.26 miles of VCP sewer main. ,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15176,1344.756586438042632
47,B15174,AC Water and Sewer Group 1029 (W),8/21/2017 0:00:00,4,Post Construction,ENCANTO NEIGHBORHOODS,6195334207,Water - Distribution Sys - Distribution,Replacement of 4.0 miles of AC water main pipe and 0.6 miles of sewer main pipe.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15174,21140.186142921465944
48,B00388,Sewer and AC Water GJ 778 (S),8/4/2016 0:00:00,4,Construction,ENCANTO NEIGHBORHOODS,6195334207,Wastewater - Collection Sys - Main,"Replace 26,041 LF (4.93 miles) of existing VC sewer mains, rehabilitate 1,481 linear-feet of  sewer main, re-plumbing of approximately 159 and including associated sewer laterals, manholes, curb ramps, traffic control, etc. This project is located in the Encanto Neighborhoods Community area and is roughly bounded by Interstate 94, Euclid Av, Market Street and Interstate 805.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00388,39656.626406111347023
49,B15069,Sewer and AC Water GJ 778 (W),8/4/2016 0:00:00,4,Construction,ENCANTO NEIGHBORHOODS,6195334207,Water - Distribution Sys - Distribution,"Replace 27,761 LF (5.26 miles) of existing AC water mains including associated water services, fire hydrants, curb ramps, traffic control, etc. This project is located in the Encanto Neighborhoods Community area and is roughly bounded by Interstate 94, Euclid Av, Market Street and Interstate 805.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15069,29055.247443272077362
50,B15168,Genesee Ave-Chateau to Sauk Sidewalk,4/3/2025 0:00:00,2,Construction,CLAIREMONT MESA,6195334207,Trans - Ped Fac - Sidewalks,"This project will install sidewalk, retaining wall, curb and gutter on the eastside of Genesse Avenue from Chateau Drive to Sauk Avenue.   ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15168,3450.258359565608316
51,L14005.2,Hillside Drainage Improvements,3/29/2027 0:00:00,2,Design,PENINSULA,6195334207,Parks - Developed Regional Park,This project provides for design and construction of the hillside are southerly outfall drainage system improvements at Sunset Cliffs Natural Park.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=L14005.2,679.643495284685287
52,B15118,AC Water & Sewer Group 1027 (S),7/31/2019 0:00:00,3,Post Construction,NORTH PARK,6195334207,Wastewater - Collection Sys - Main,This project proposes to replace 94 LF (0.02 miles) of existing CP sewer mains including associated sewer laterals and manholes. ,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15118,107.594147690549676
53,B16034,Sewer Group 776A,1/26/2021 0:00:00,4,Post Construction,MID-CITY:EASTERN AREA,6195334207,Wastewater - Collection Sys - Main,"Construction of Sewer Group 776A consist of furnishing all labor, materials, equipment, services and construction of 2,352 LF of 10”,12” and 15” sewer main, 1,375 LF of 6” and 8” sewer main rehabilitation, sewer manholes, sewer laterals, installation of curb ramps, pavement, resurfacing, abandonment of exisiting sewer mains, and all other work and appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16034,3704.160963521392205
54,B15041,AC Water & Sewer Group 1011 (W),11/20/2017 0:00:00,1,Post Construction,LA JOLLA,6195334207,Water - Distribution Sys - Distribution,"Replacement of 12,300 linear feet of AC water main pipe with new PVC water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15041,24409.023615021440492
55,S00869,Palm Avenue Interstate 805 Interchange,1/13/2026 0:00:00,8,Design,"OTAY MESA-NESTOR, OTAY MESA",6195334207,Trans - Bridge - Vehicular,The project will widen the existing Palm Ave bridge over the I-805 and upgrade the existing on/off ramps.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S00869,1425.381494048112700
56,B12097,Caltrans Pacific Beach PPL Central (S),7/23/2018 0:00:00,2,Construction,"MIDWAY-PACIFIC HIGHWAY, PENINSULA, MISSION BAY PARK",6195334207,Wastewater - Collection Sys - Main,"This project will replace the existing sewer mains along West Mission Bay Drive Bridge with 2 new 14"" mains. ",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12097,5992.572543134700936
57,B16025,College Areas Swr & AC Wtr Main Repl (S),1/30/2023 0:00:00,9,Construction,COLLEGE AREA,6195334207,Wastewater - Collection Sys - Main,"Replace 4,770 LF of existing VC sewer mains via open trench and trenchless construction methods.  Project is within street right-of-way and easements.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16025,4821.754067696946549
58,B16022,College Areas Swr & AC Wtr Main Repl (W),1/30/2023 0:00:00,9,Construction,COLLEGE AREA,6195334207,Water - Distribution Sys - Distribution,"Replace 2,577 LF of existing AC water mains and construct 475 LF of new water main via open trench construction methods, and abandon 190 LF of existing AC water main.  Project is within street right-of-way and easements.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16022,2732.181633462362242
59,B16115,Oak Park (SD),9/25/2026 0:00:00,"9, 4",Design,MID-CITY:EASTERN AREA,6195334207,Drainage - Storm Drain Pipes,"The storm drain portion of the project will replace approximately 540 linear feet of corrugated metal pipe (CMP) across multiple locations in the Oak Park community. The deteriorated 15” CMP located at Quince Street and Chollas Parkway will be abandoned and redirected using appropriately sized new pipe and connected to the existing Municipal Separate Storm Sewer System (MS4). The existing 18” and 24” CMP, and 24” steel pipe at the end of Chollas Station Drive will be realigned and replaced.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16115,5622.459300774476105
60,B17087,Clairemont Mesa Sewer Pipe Replacement,2/24/2027 0:00:00,2,Design,CLAIREMONT MESA,6195334207,Wastewater - Collection Sys - Main,Rehabilitation of 348 LF existing 8"" VC sewer main and 4 manholes with 1 point repair.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B17087,356.914727519943881
